FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS16,PCH_REDEMP_SNAPS_12_16,PCT_SNAP12,PCT_SNAP16,PCH_SNAP_12_16,PC_SNAPBEN10,PC_SNAPBEN15,PCH_PC_SNAPBEN_10_15,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,PCT_NSLP09,PCT_NSLP15,PCH_NSLP_09_15,PCT_FREE_LUNCH09,PCT_FREE_LUNCH14,PCT_REDUCED_LUNCH09,PCT_REDUCED_LUNCH14,PCT_SBP09,PCT_SBP15,PCH_SBP_09_15,PCT_SFSP09,PCT_SFSP15,PCH_SFSP_09_15,PC_WIC_REDEMP08,PC_WIC_REDEMP12,PCH_PC_WIC_REDEMP_08_12,REDEMP_WICS08,REDEMP_WICS12,PCH_REDEMP_WICS_08_12,PCT_WIC09,PCT_WIC15,PCH_WIC_09_15,PCT_CACFP09,PCT_CACFP15,PCH_CACFP_09_15,FDPIR12
1001,AL,Autauga,301432.0810690423,239024.0155731225,-20.70385649549538,18.824675227627115,16.97643575350071,-1.8482394741264052,16.69232131840477,17.905272402410585,7.266521299637514,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,32.00674870980548,-1.0,8.217546645494243,-1.0,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,19.26266,16.63944,-13.61819,161658.7,184744.3,14.28049,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1003,AL,Baldwin,274394.50366265053,155844.3901893143,-43.20425952084142,18.824675227627115,16.97643575350071,-1.8482394741264052,14.139211221755868,14.157134207210303,0.12676085796679387,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,33.21605514468299,36.756438750163426,8.160407840884613,5.082363707674205,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,17.85356,17.92161,0.3811479,125840.5,126639.4,0.6348812,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1005,AL,Barbour,325496.5607655502,281716.325971564,-13.450291054079793,18.824675227627115,16.97643575350071,-1.8482394741264052,27.55824258537592,31.633041492196423,14.786134834965278,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,68.24583866837388,63.93180607352158,3.713188220230474,3.436334576451785,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,35.84205,40.42276,12.78026,178230.6,157077.1,-11.86862,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1007,AL,Bibb,356444.032,256026.91965957452,-28.17191573582735,18.824675227627115,16.97643575350071,-1.8482394741264052,20.128736635391665,19.47313210111845,-3.2570575399177777,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,50.27855153203342,54.33422698838248,11.197771587743732,9.115281501340483,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,25.7193,21.74258,-15.46202,92542.33,98263.4,6.182112,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1009,AL,Blount,229730.02263157893,141304.90067256632,-38.490886365697676,18.824675227627115,16.97643575350071,-1.8482394741264052,19.157856785643673,15.795131423815798,-17.552722099623384,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,39.6810979917247,44.98797951290896,9.08265213442325,8.090310442144872,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,17.81256,15.47159,-13.14226,102945.9,149110.0,44.84305,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1011,AL,Bullock,211588.91372093023,210721.36150375943,-0.41001780382266884,18.824675227627115,16.97643575350071,-1.8482394741264052,31.64895241585731,35.278176311174875,11.467121715849238,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,92.11973121563837,63.85780118499012,0.061087354917532075,0.0,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1013,AL,Butler,345604.8689908257,305223.8659354839,-11.68415340132658,18.824675227627115,16.97643575350071,-1.8482394741264052,29.22852914498496,31.257246016761073,6.940879103812857,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,69.69248965109402,65.84142901911626,8.604376108811355,5.3274835474772795,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,40.04169,40.12669,0.212286,134613.5,203713.2,51.33193,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1015,AL,Calhoun,315617.50259818736,261900.11985248927,-17.01977308086291,18.824675227627115,16.97643575350071,-1.8482394741264052,26.810714165232937,26.822656893784966,0.04454461182356596,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,48.381188385498035,53.5687145612907,8.538490545709207,7.160811363769218,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,24.50327,24.13542,-1.501256,126327.7,148999.4,17.94666,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1017,AL,Chambers,327935.78832116787,270583.6106666667,-17.48884376057566,18.824675227627115,16.97643575350071,-1.8482394741264052,28.089531881728288,27.345318176032272,-2.649434347391573,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,64.6073087017969,65.34928434095278,7.631738340399758,7.306131168553728,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,26.92083,28.52697,5.96619,154673.6,161957.1,4.708968,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1019,AL,Cherokee,242354.8712903226,178751.8756701031,-26.243745496672098,18.824675227627115,16.97643575350071,-1.8482394741264052,25.119601882847874,22.347689756148124,-11.034856920214416,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,47.649208282582215,51.14899925871016,11.327649208282581,10.773412404250061,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,23.12612,27.36524,18.33041,112915.6,118678.5,5.103687,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
1021,AL,Chilton,247911.59465240646,164782.24030959743,-33.53185415122015,18.824675227627115,16.97643575350071,-1.8482394741264052,27.089109364617464,22.67989073782404,-16.27672053534747,67,89.184,0.0,1.0,0,0,0,1,1,1,12.315055424970076,10.93452934248121,-1.380526082488867,48.71860914359304,50.01312335958005,9.426915647134578,7.152230971128609,4.509007566406751,5.2329982595108975,0.7239906931041462,0.5648895620624597,1.0271087814950426,0.46221921943258293,23.90553,22.55591,-5.645612,145810.0,141196.8,-3.163887,2.990416904169891,2.7193521519644355,-0.2710647522054557,0.9160899337992502,1.055597276711836,0.13950734291258582,0
